text,label
We ran on the beach.,correct
The music played in the background.,correct
She hung the picture above the couch.,correct
The moon shone above the trees.,correct
She swam under the water.,correct
They drove through the tunnel.,correct
The car drove past the gas station.,correct
I like to exercise during the morning.,correct
The fork is next to the knife.,correct
He stood behind the tree.,correct
The sun is shining on the beach.,correct
He waited at the intersection.,correct
The vase is in the corner of the room.,correct
She sat in the front row.,correct
The bike is leaning against the wall.,correct
The car is driving on the highway.,correct
The flower grew out of the ground.,correct
She walked along the path.,correct
He crawled through the tunnel.,correct
She ran towards the playground.,correct
"During the lecture, I took notes on important points.",correct
The movie is starting of ten minutes.,incorrect
The book is on the shelf.,correct
The picture is hanging on the wall.,correct
The box is inside the closet.,correct
The car drove over the bridge.,correct
They sat in the shade.,correct
The shoes are beside the door.,correct
She danced on the stage.,correct
The bird is perched on a branch.,correct
The plane is flying above the city.,correct
She hung the clothes on the line.,correct
The spider is crawling on the wall.,correct
The car drove down the highway.,correct
The sun rose above the horizon.,correct
The plane flew over the ocean.,correct
The milk is in the fridge.,correct
The tree branches reached towards the sky.,correct
The plane flew above the clouds.,correct
The car drove under the tunnel.,correct
The book fell off the shelf.,correct
The book was on the table.,correct
The bird flew through the window.,correct
The plant is on the windowsill.,correct
"During the storm, the power went out.",correct
The knife is on the cutting board.,correct
The book was inside the backpack.,correct
The man walked around the block.,correct
The shoes are in the closet.,correct
The pizza was on the counter.,correct
She always wears a scarf through her coat.,incorrect
The mouse ran along the floor.,correct
The train went through the tunnel.,correct
The vase is on the tablecloth.,correct
The boy is beside his mother.,correct
The boy ran around the playground.,correct
He sat next to his brother.,correct
The spider crawled along the wall.,correct
The flowers were in the garden.,correct
The snake crawled across the road.,correct
The fish is swimming in the pond.,correct
The backpack is on the chair.,correct
She walked by the river.,correct
"Beneath the surface, there was a vast network of tunnels.",correct
She fell off the bike.,correct
He was pleased on the progress of his project.,incorrect
The man walked towards the door.,correct
She took a picture of the sunset.,correct
The pen is beside the notebook.,correct
The cat is in the tree.,incorrect
They walked through the door.,correct
He jumped over the fence.,correct
The ball is bouncing off the wall.,correct
The cat is sitting in the box.,correct
She climbed up the ladder.,correct
He has a natural immunity until certain diseases.,incorrect
The painting is hanging on the wall.,correct
The restaurant is protesting for the new zoning laws.,incorrect
I walked through the park.,correct
The boat sailed across the lake.,correct
The bird flew towards the horizon.,correct
The store is open on 9 PM.,incorrect
"Around the corner, there was a hidden alleyway.",correct
The food is in the refrigerator.,correct
They played in the snow.,correct
They walked by the pond.,correct
The child played with the toy on the floor.,correct
The car is driving towards the bridge.,correct
The basketball bounced off the rim.,correct
She ran towards the finish line.,correct
The girl walked beside her friend.,correct
She climbed up the ladder.,correct
"During the bike ride, we went uphill and downhill.",correct
She sat on the swing.,correct
The bookshelf is against the wall.,correct
She slept in the bed.,correct
The cake is on the plate.,correct
The guitar is leaning against the wall.,correct
He sat on the bench.,correct
The train arrived at the station.,correct
He ran towards the finish line.,correct
The doctor discovered a rare disease like his patients.,incorrect
He walked over the bridge.,correct
The flowers are in the vase.,correct
The bird perched on the branch.,correct
She sat on the couch.,correct
She sat at the desk.,correct
The ball flew over the fence.,correct
They won't start the concert by everyone is seated.,incorrect
The book is on the shelf.,correct
She walked across the bridge.,correct
We flew over the mountains.,correct
They walked past the building.,correct
She ran past the store.,correct
He swam beside the boat.,correct
She sat beside her friend.,correct
He put the plate in the dishwasher.,correct
The cup is on top of the saucer.,correct
The book is on the table.,correct
The musician was considered a legend after his fans.,incorrect
The ball rolled under the bed.,correct
He crawled under the fence.,correct
The flowers are in the garden.,correct
The clock is above the door.,correct
The tree stood beside the road.,correct
The bike was behind the shed.,correct
The river flowed under the bridge.,correct
The car drove over the bridge.,correct
The cat is on the mat.,correct
The dog is sleeping on the rug.,correct
The pillow is on the bed.,correct
She walked through the park.,correct
She jumped onto the bed.,correct
He stood in front of the mirror.,correct
The television is mounted on the wall.,correct
The dog is sleeping under the bed.,correct
The ball bounced off the wall.,correct
The leaves fell from the tree.,correct
She stood on the stage.,correct
The cat sat on the windowsill.,correct
He sat behind the wheel.,correct
She sat above the clouds.,correct
The sun set behind the mountains.,correct
They sat on the floor.,correct
He sat on the porch.,correct
The phone is beside the charger.,correct
The towel is on the bathroom hook.,correct
"During the party, we played games and danced.",correct
The bird is flying toward the nest.,correct
He ran towards the finish line.,correct
The bird landed on the roof.,correct
The paper is inside the folder.,correct
She leaned against the wall.,correct
The car is driving away from the city.,correct
The book is next to the lamp.,correct
The wind blew through the trees.,correct
She stood on the balcony.,correct
to the guests at the party were several famous actors.,incorrect
"For breakfast, she had a bowl of oatmeal.",correct
The hat is on his head.,correct
"During the dance class, I learned new moves.",correct
The car is parked in the driveway.,correct
The child ran towards the swing.,correct
The dog ran around the park.,correct
"Across the street, there was a busy market.",correct
The flower is on the stem.,correct
They ran on the track.,correct
The shirt is on the hanger.,correct
I usually take a nap during lunch time.,correct
The boat sailed on the lake.,correct
The cat rubbed until my leg.,incorrect
We rode in the car.,correct
The cake was on the plate.,correct
The computer is on the desk.,correct
The helicopter hovered over the building.,correct
The car drove past the gas station.,correct
I always drink coffee during breakfast.,correct
They stood on the sidewalk.,correct
He sat in the corner.,correct
The bird flew towards the sun.,correct
The cat jumped over the fence.,correct
"During the park visit, we played frisbee.",correct
The soap is in the dish.,correct
They walked through the market.,correct
They walked through the forest.,correct
He sat behind the desk.,correct
The wind blew through the trees.,correct
He walked up the stairs.,correct
They went up the elevator.,correct
The apple fell from the tree.,correct
The cat hid under the bed.,correct
The towel is beside the pool.,correct
"During the date, we went to a fancy restaurant.",correct
She walked up to the counter.,correct
The ball rolled under the couch.,correct
The cat is under the bed.,correct
The clock chimed from the tower.,correct
The picture is on the mantel.,correct
The ball rolled down the hill.,correct
The bird flew towards the nest.,correct
The tree is in front of the house.,correct
The sun is shining in the sky.,incorrect
"During the museum visit, we learned about art history.",correct
The cat hid under the table.,correct
The book is on the table next to the lamp.,correct
The book is in the backpack.,correct
"Among the flowers, the butterfly fluttered.",correct
The kite flew in the wind.,correct
The lamp is on the nightstand.,correct
The boat sailed across the lake.,correct
The plane flew through the clouds.,correct
The pillow is on the bed.,correct
He walked around the block.,correct
He stood on the roof.,correct
The box is under the bed.,correct
The cake was under the dome.,correct
They played in the park.,correct
